nr,titel,artiest,jaar
1358,Red sails in the sunset,Fats Domino,1963
1359,Fire and rain,James Taylor,1970
1360,I knew you were waiting,George Michael & Aretha Franklin,1987
1361,Don't it make my brown eyes blue,Crystal Gayle,1977
1362,Lady Marmalade,Labelle,1975
1363,Little sister,Ry Cooder,1979
1364,Jolene,Dolly Parton,1974
1365,Lay back in the arms of someone,Smokie,1977
1366,Is that all there is?,Peggy Lee,1969
1367,Keeping the dream alive,Freiheit,1989
1368,It never rains in southern California,Albert Hammond,1972
1369,Funny funny,Sweet,1974
1370,Grease,Frankie Valli,1978
1371,Shaffy cantate,Ramses Shaffy,1965
1372,What can I say,Boz Scaggs,1977
1373,Music to watch girls by,Andy Williams,1967
1374,Ode to Billie Joe,Bobbie Gentry,1967
1375,Peaceful easy feelin',Eagles,1972
1376,Sausolito Summernights,Diesel,1980
1377,Still the same,Bob Seger &  the Silver Bullet Band,1978
1378,Young Americans,David Bowie,1975
1379,Pictures of matchstick men,Status Quo,1968
1380,The night they drove ol' dixie down,Joan Baez,1971
1381,Pour moi la vie va commencer,Johnny Halliday,1963
1382,You've got your troubles,Fortunes,1965
1383,The carnival is over,Seekers,1965
1384,We shall overcome,Pete Seeger,1962
1385,Dr. Beat,Gloria Estefan & Miami Sound Machine,1984
1386,Anyone who had a heart,Dionne Warwick,1964
1387,Coming around again,Carly Simon,1987
1388,Fly me to the moon,Frank Sinatra,1964
1389,Guantanamera,Sandpipers,1966
1390,After the love has gone,Earth Wind & Fire,1979
1391,Cherish,Kool & the Gang,1985
1392,Could it be magic,Donna Summer,1976
1393,Cry,Godley & Creme,1985
1394,"Girls, girls, girls",Sailor,1975
1395,Crimson & clover,Tommy James & the Shondells,1969
1396,Per spoor,Guus Meeuwis & Vagant,1996
1397,Hé kom aan,Dimitri van Toren,1973
1398,Kayuta Hill,Partner,1978
1399,How will I know,Whitney Houston,1986
1400,I feel like I'm fixing to die' rag,Country Joe & Fish,1970
1401,Am I losing you forever,Mai Tai,1985
1402,Lady of the dawn,Mike Batt,1979
1403,High noon,Frankie Laine,1952
1404,I got a name,Jim Croce,1975
1405,Ik heb geen zin om op te staan,Het,1965
1406,Na na na,Shoes,1967
1407,La mamma,Corry Brokken,1964
1408,Photograph,Ringo Starr,1973
1409,Only lies,Greenfield & Cook,1971
1410,Isabelle ja t’aime,Poppys,1972
1411,Please don't go,KC & the Sunshine Band,1979
1412,Smoke gets in your eyes,Platters,1959
1413,Theme from 'Shaft',Isaac Hayes,1971
1414,Well allright,Blind Faith,1969
1415,Satellite of love,Lou Reed,1973
1416,Wordy rappinghood,Tom Tom Club,1981
1417,Runaway boys,Stray Cats,1980
1418,Stay with me till dawn,Judie Tzuke,1979
1419,So you win again,Hot Chocolate,1977
1420,Words,F.R. David,1982
1421,Sailor,Sailor,1975
1422,Swimming into deep water,Don Rosenbaum,1972
1423,The opera,Dizzy Man's Band,1975
1424,Wonderful,Colin Blunstone,1973
1425,Baby love,Supremes,1964
1426,Bangla Desh,George Harrison,1971
1427,Black is black,Los Bravos,1966
1428,City to city,Gerry Rafferty,1978
1429,Claudette,Everly Brothers,1958
1430,Cherchez la femme,Dr. Buzzard Original Savannah Band,1977
1431,De troubadour,Lenny Kuhr,1969
1432,Don't get me wrong,Pretenders,1986
1433,Dedicated to the one I love,Mama's & Papa's,1967
1434,Delilah,Tom Jones,1968
1435,Both sides now,Euson,1971
1436,Dead end street,Kinks,1966
1437,Everlasting love,Love Affair,1968
1438,De wilde boerendochter,Ivan Heylen,1974
1439,Clair,Gilbert O'Sullivan,1972
1440,Ole Guapa,Malando,1948
1441,Man of the world,Fleetwood Mac,1969
1442,Popcorn,Popcorn Makers,1972
1443,Home on a Monday,Little River Band,1977
1444,I'm a man,Spencer Davis Group,1967
1445,Jesus is just allright,Byrds,1970
1446,My life,Billy Joel,1979
1447,Oh Bernadine,Pat Boone,1957
1448,Rider in the rain,Randy Newman,1978
1449,Everybody loves somebody,Dean Martin,1964
1450,In the summertime,Mungo Jerry,1970
1451,It must be love,Labi Siffre,1972
1452,Get down and get with it,Slade,1971
1453,Jingoloba,Santana,1970
1454,The tide is high,Blondie,1980
1455,"Si tu dois partir, va-t-en",Fairport Convention,1969
1456,Stimmen im Wind,Juliane Werding,1986
1457,Subsitute,Clout,1978
1458,Sweet freedom,Michael McDonald,1986
1459,Woodstock,Matthew's Southern Comfort,1970
1460,You were on my mind,Crispian St Peters,1966
1461,Rocky,Don Mercedes,1976
1462,Roll over Beethoven,Chuck Berry,1956
1463,Stuck on you,Lionel Richie,1984
1464,The last farewell,Roger Whittaker,1975
1465,When I was young,Eric Burdon & Animals,1967
1466,Rose of Cimarron,Poco,1976
1467,Sugar me,Lynsey de Paul,1972
1468,Do it again,Beach Boys,1968
1469,2000 Miles,Pretenders,1983
1470,36-24-36,Shadows,1961
1471,A boy named Sue,Johnny Cash,1969
1472,All around the world,Lisa Stansfield,1989
1473,First time,Robin Beck,1988
1474,Cinderella Rockefella,Esther & Abi Ofarim,1968
1475,All I wanna do,Sheryl Crow,1994
1476,Tanze mit mir in den Morgen,Gerhard Wendland,1962
1477,Goldfinger,Shirley Bassey,1965
1478,If I were a carpenter,Four Tops,1968
1479,In het donker,Kadanz,1983
1480,Daydream believer,Monkees,1967
1481,Funky town,Lipps Inc,1980
1482,Blue moon,Marcels,1961
1483,Frank Mills,Bojoura,1969
1484,If I only had time,John Rowles,1968
1485,Dirty ol' man,Three Degrees,1973
1486,It's not unusual,Tom Jones,1965
1487,Now that we found love,Third World,1979
1488,Queen for tonight,Helen Shapiro,1963
1489,It's so easy,Linda Ronstadt,1977
1490,Just an illusion,Imagination,1982
1491,Only one woman,Marbles,1968
1492,Rawhide,Frankie Laine,1959
1493,It's the end,Buffoons,1968
1494,Love don't live here anymore,Rose Royce,1978
1495,"My truly, truly fair",Guy Mitchell,1951
1496,Jukebox jive,Rubettes,1974
1497,Love is blue,Paul Mauriat,1968
1498,Pearlydumm,BZN,1980
1499,Upside down,Diana Ross,1980
1500,Would I lie to you,Charles & Eddie,1992
1501,Tears of a clown,Smokey Robinson & the Miracles,1970
1502,Torn between two lovers,Mary MacGregor,1977
1503,Traffic jam,Sailor,1974
1504,Tossing and turning,Ivy League,1965
1505,Well allright,Buddy Holly,1958
1506,Tomorrow is another day,Buffoons,1967
1507,You're in the army now,Bolland,1981
1508,Sheila,Tommy Roe,1962
1509,Whenever I call you friend,Kenny Loggins & Stevie Nicks,1978
1510,See you later alligator,Bill Haley & his Comets,1956
1511,What is life,George Harrison,1971
1512,9 to 5,Dolly Parton,1981
1513,All the young dudes,Mott the Hoople,1972
1514,Baby I'm a want you,Bread,1971
1515,Bamboleo,Gipsy Kings,1988
1516,Barbara Ann,Beach Boys,1966
1517,Classical gas,Mason Williams,1968
1518,Delta lady,Joe Cocker,1969
1519,Everytime you go away,Paul Young,1985
1520,From the underworld,Herd,1967
1521,Ik heb zo waanzinnig gedroomd,Kinderen voor Kinderen,1981
1522,Just fancy,Ro-d-ys,1967
1523,I love rock 'n roll,Joan Jett & the Blackhearts,1982
1524,I'm gonna knock on your door,Eddie Hodges,1961
1525,I've been thinking about you,London Beat,1990
1526,It started with a kiss,Hot Chocolate,1982
1527,Loverboy,Billy Ocean,1985
1528,Hello goodbye,Beatles,1967
1529,Mighty Quinn,Manfred Mann,1968
1530,Hi Hi Hi,Wings,1972
1531,Get down,Gilbert O'Sullivan,1973
1532,On the sunny side of the street,Tommy Dorsey & Sentimentalists,1944
1533,Star,Earth Wind & Fire,1979
1534,Rainy day women #12 & 35,Bob Dylan,1965
1535,Never gonna give you up,Rick Astley,1987
1536,Reminiscing,Little River Band,1978
1537,Sincerita,Riccardo Cocciante,1984
1538,Rose garden,Lynn Anderson,1971
1539,Sealed with a kiss,Brian Hyland,1962
1540,Spooky's day off,Swinging Soul Machine,1969
1541,My old piano,Diana Ross,1980
1542,The show,Dizzy Man's Band,1973
1543,The way to your heart,Soulsister,1988
1544,Israelites,Desmond Dekker & the Aces,1969
1545,Video killed the radio star,Buggles,1979
1546,Wishing on a star,Rose Royce,1978
1547,You are my destiny,Lionel Richie,1992
1548,Tutti frutti,Little Richard,1957
1549,Voici les cles,Gerard Lenorman,1977
1550,World of our own,Seekers,1965
1551,The day that curly Billy shot down crazy Sam McGee,Hollies,1973
1552,Wouldn't it be good,Nik Kershaw,1984
1553,Telstar,Tornados,1962
1554,Are you sure,Allisons,1961
1555,Bus stop,Hollies,1966
1556,Do that to me one more time,Captain & Tenille,1980
1557,Don't worry be happy,Bobby McFerrin,1988
1558,Kiss,Tom Jones & Art of Noise,1988
1559,Kissin' in the backrow of the movies,Drifters,1974
1560,Lydia,Dean Friedman,1979
1561,Geh nicht in die Stadt,Juliane Werding,1984
1562,I've got the music in me,Kiki Dee,1974
1563,Perfect,Fairground Attraction,1988
1564,Robert de Niro's waiting,Bananarama,1984
1565,I can't stop loving you,Ray Charles,1962
1566,Les Champs Elysées,Joe Dassin,1969
1567,Lovely day,Bill Withers,1978
1568,Pour un flirt,Michel Delpech,1971
1569,I won't last a day without you,Carpenters,1974
1570,Pretend,Alvin Stardust,1981
1571,Red river rock,Johnny & the Hurricanes,1960
1572,Ik wil jou,Polle Eduard,1979
1573,Marina,Rocco Granata,1959
1574,How many times,Lori Spee,1982
1575,Someone loves you honey,June Lodge & Prince Mohammed,1982
1576,Take her home,Ro-d-ys,1967
1577,Rosie,Joan Armatrading,1980
1578,Starmaker,Kids from Fame,1983
1579,Sitting on a fence,Twice as Much,1966
1580,True love ways,Peter & Gordon,1965
1581,Young girl,Gary Puckett & the Union Gap,1968
1582,She likes weeds,Tee Set,1970
1583,Sundown,Gordon Lightfoot,1974
1584,The hustle,Van McCoy,1975
1585,Yeke yeke,Mory Kante ,1988
1586,St. Elmo's fire,John Parr,1985
1587,Superfreak,Rick James,1981
1588,The twist,Chubby Checker,1962
1589,Two hearts,Phil Collins,1988
1590,Can I get there by candlelight,David McWilliams,1968
1591,Chain reaction,Diana Ross,1985
1592,C'mon everybody,Eddie Cochran,1957
1593,Border song,Elton John,1970
1594,Behind a painted smile,Isley Brothers,1969
1595,Bette Davis' eyes,Kim Carnes,1981
1596,Ademnood,"Linda, Roos & Jessica",1995
1597,Baby please don't go,Them,1965
1598,Crying time,Ray Charles,1966
1599,Having my baby,Paul Anka,1974
1600,Lovely lovely,Chubby Checker,1965
1601,I threw it all away,Bob Dylan,1969
1602,I get around,Beach Boys,1964
1603,Faithful,Marvin Welch & Farrar,1971
1604,Gimme hope Joanna,Eddy Grant,1988
1605,Gloria,Umberto Tozzi,1979
1606,Days of Pearly Spencer,David McWilliams,1967
1607,Een vrouw zoals jij,Hans de Booij,1983
1608,Don't you worry bout a thing,Incognito,1992
1609,Happy birthday,Stevie Wonder,1981
1610,Harmony,Ray Conniff Singers,1976
1611,I'll meet you at midnight,Smokie,1976
1612,If you can't give me love,Suzi Quatro,1978
1613,Heartbreaker,Dionne Warwick,1964
1614,Kiss on my list,Hall & Oates,1981
1615,It's too late,Carole King,1971
1616,I should have known better,Jim Diamond,1984
1617,Mother how are you today,Maywood,1980
1618,Needles and pins,Searchers,1964
1619,Howzat,Sherbet,1976
1620,Mendocino,Sir Douglas Quintet,1969
1621,Katinka,Spelbrekers,1962
1622,Roosje m'n roosje,Conny Vandenbos,1974
1623,Thank you for being a friend,Andrew Gold,1978
1624,These boots are made for walking,Nancy Sinatra,1966
1625,No more fear of flying,Gary Brooker,1979
1626,Radio,Dolly Dots,1979
1627,Shine on,LTD,1981
1628,Summernights,Marianne Faithfull,1965
1629,Sure he's a cat,Cats,1967
1630,True love that's a wonder,Sandy Coast,1971
1631,Windforce 11,Nadieh,1987
1632,Zijn het je ogen,Koos Alberts,1988
1633,Only love,Nana Mouskouri,1985
1634,Power of love,Huey Lewis & the News,1985
1635,Que sera me vida,Gibson Brothers,1980
1636,Sjakie van de hoek,Conny Vandenbos,1975
1637,Stay with me,Faces,1972
1638,Walking back to happiness,Helen Shapiro,1961
1639,Gin house blues,Amen Corner,1967
1640,I can help,Billy Swan,1974
1641,Cara Mia,Jay & the Americans,1965
1642,Clouds across the moon,Rah Band,1985
1643,Do wah diddy diddy,Manfred Mann,1964
1644,Hippy hippy shake,Swinging Blue Jeans,1964
1645,Also sprach Zarathustra,Deodato,1973
1646,Break away,Tracey Ullman,1983
1647,Float on,Floaters,1977
1648,Don Juan,Dave Dee Dozy Beaky Mick & Tich,1969
1649,How do you like your eggs in the morning,Dean Martin & Helen O'Connell,1960
1650,Doris Day,Doe Maar,1982
1651,De doodgewoonste dingen,Passepartout,1977
1652,Don't leave me this way,Thelma Houston,1977
1653,If I stay too long,Big Wheel,1969
1654,Nothing's gonna change my love,Glenn Medeiros,1988
1655,Longer,Dan Fogelberg,1980
1656,No dogs allowed,Jose Feliciano,1970
1657,If you go,Barry & Eileen,1975
1658,Mexico,Les Humphries Singers,1972
1659,Never can say goodbye,Gloria Gaynor,1975
1660,I'll be there for you,Solid Harmonie,1997
1661,I'm specialized in you,Time Bandits,1983
1662,La poupee qui fait non,Michel Polnareff,1966
1663,Love is in the air,John Paul Young,1977
1664,Pittsburg in the rain,Leon de Graaff,1971
1665,Take it or leave it,Searchers,1966
1666,The windmills of your mind,Jose Feliciano,1969
1667,Thought you were on my side,Cock Robin,1986
1668,Rich girl,Hall & Oates,1977
1669,With a girl like you,Troggs,1966
1670,Simple song of freedom,Tim Hardin,1970
1671,Something,Shirley Bassey,1970
1672,Take the A-train,Duke Ellington,1941
1673,They shoot horses don't they,Racing Cars,1977
1674,This wheel's on fire,Julie Driscoll & the Brian Auger Trinity,1968
1675,Tom Dooley,Kingston Trio,1959
1676,Try a little love,Oscar Harris,1970
1677,What the world needs now,Dionne Warwick,1968
1678,World of birds,Q65,1967
1679,Play it cool,Freiheit,1988
1680,Surrender,Jon Anderson,1982
1681,Sussudio,Phil Collins,1985
1682,Dance on little girl,Paul Anka,1961
1683,Goodbye my love,Searchers,1965
1684,Cokane in my brain,Dillinger,1977
1685,City of New Orleans,Arlo Guthrie,1972
1686,Egyptian reggae,Jonathan Richman & the Modern Lovers,1977
1687,Callow-la-vita,Raymond Froggatt,1968
1688,Carwash,Rose Royce,1977
1689,Chirpy chirpy cheep cheep,Middle of the Road,1971
1690,Come back my love,Darts,1978
1691,Baretta's theme,Sammy Davis jr.,1976
1692,Bluesette,Toots Thielemans,1974
1693,Feeling allright,Joe Cocker,1969
1694,Groovin',Young Rascals,1967
1695,Long tall Sally,Little Richard,1956
1696,Mr. Bojangles,Sammy Davis jr.,1977
1697,Ik zie een ster,Mouth & McNeal,1974
1698,Love me please love me,Michel Polnareff,1966
1699,La bamba,Trini Lopez,1963
1700,Dear Mrs. Applebee,David Garrick,1966
1701,I'm so glad to be a woman,Love Unlimited,1981
1702,It's a heartache,Bonnie Tyler,1978
1703,Je wordt ouder pappa,Peter Koelewijn,1977
1704,Last night a DJ saved my life,Indeep,1983
1705,Looking for clues,Robert Palmer,1981
1706,Love story,Randy Newman,1968
1707,Movie star,Harpo,1975
1708,If you hold my hand,Donna Hightower,1973
1709,My sherona,Knack,1979
1710,Puppet on a string,Sandy Shaw,1967
1711,Under the boardwalk,Drifters,1964
1712,On my own,Patti Labelle & Michael McDonald,1986
1713,This guy's in love with you,Herb Alpert,1968
1714,When your in love with a beautiful woman,Dr. Hook & the Medicine Show,1979
1715,Yesterday man,Chris Andrews,1965
1716,No more boleros,Gerard Joling,1989
1717,Out of time,Chris Farlowe,1966
1718,"Shame, shame, shame",Shirley & Company,1975
1719,Something in the air,Thunderclap Newman,1969
1720,Walking on the Chinese Wall,Philip Bailey,1985
1721,Put a little love in your heart,Annie Lennox & Al Green,1988
1722,Borriquitto,Peret,1971
1723,Do you love me,Sharif Dean,1973
1724,Feel the need in me,Detroit Emeralds,1973
1725,A hole in my shoe,Traffic,1967
1726,A far l'amore commincia tu,Raffaela Carra,1977
1727,Baby come back,Equals,1968
1728,Coward of the county,Kenny Rogers,1980
1729,Dancing on the ceiling,Lionel Richie,1986
1730,Don't you write her off,McGuinn Clark & Hillman,1979
1731,Ginny come lately,Brian Hyland,1962
1732,Tired of waiting for you,Kinks,1965
1733,Sunny girl,Hepstars,1968
1734,Melting pot,Blue Mink,1970
1735,Rosetta,Georgie Fame & Alan Price,1971
1736,How do you do,Mouth & McNeal,1971
1737,Smoke gets in your eyes,Blue Haze,1972
1738,Leonie,Arjan Brass,1976
1739,Listen to what the man said,Paul McCartney & Wings,1975
1740,Lay your love on me,Racey,1979
1741,I'm in the mood for dancing,Nolan Sisters,1980
1742,Reggae night,Jimmy Cliff,1983
1743,My prerogative,Bobby Brown,1989
1744,Roses are red,Bobby Vinton,1962
1745,Yellow river,Christie,1970
1746,Paleis met gouden muren,Conny Vandenbos,1966
1747,Shining star,Earth Wind & Fire,1975
1748,Send in the clowns,Judy Collins,1975
1749,Sunshine reggae,Laid Back,1983
1750,Rio,Maywood,1981
1751,A guy is a guy,Doris Day,1952
1752,Seasons in the sun,Terry Jacks,1974
1753,Tonight I celebrate my love,Peabo Bryson & Roberta Flack,1983
1754,I won't let the sun go down on me,Nik Kershaw,1984
1755,Late at night,Maywood,1980
1756,Back stabbers,O'Jays,1972
1757,Break my stride,Matthew Wilder,1984
1758,China groove,Doobie Brothers,1973
1759,Deep water,Grapefruit,1969
1760,Forever and ever,Slik,1976
1761,Little girl,Syndicate of Sound,1966
1762,Axel F,Harold Faltermeyer,1985
1763,Bad bad Leroy Brown,Jim Croce,1973
1764,Dag zuster Ursula,Rob de Nijs,1973
1765,Do you love me,Contours,1963
1766,Fire,Crazy World of Arthur Brown,1968
1767,Hurts to be in love,Gino Vannelli,1985
1768,Here it comes again,Fortunes,1965
1769,I'd like to teach the world to sing,New Seekers,1972
1770,I've seen that face before,Grace Jones,1981
1771,Knock on wood,Eddy Floyd,1966
1772,My little town,Simon & Garfunkel,1975
1773,"Mien, waar is m’n feestneus",Toon Hermans,1968
1774,Whole lotta shakin' going on,Jerry Lee Lewis,1957
1775,Love grows,Edison Lighthouse,1970
1776,Me and you and a dog named Boo,Lobo,1971
1777,The birds and the bees,Jewel Akens,1965
1778,The morning after,Maureen McGouvern,1973
1779,This is my song,Petula Clark,1967
1780,Paroles,Dalida & Alain Delon,1973
1781,Sophietje,Johnny Lion,1965
1782,San Franciscan nights,Eric Burdon & Animals,1967
1783,Rhinestone cowboy,Glen Campbell,1975
1784,The other side of the sun,Janis Ian,1980
1785,There's a kind of hush,Herman’s Hermits,1967
1786,To my father's house,Les Humphries Singers,1970
1787,Maria Elena,Los Indios Tabajaras,1964
1788,Matador,Garland Jeffreys,1980
1789,Why did you do it,Stretch,1976
1790,Abergavenny,Marty Wilde,1968
1791,At the hop,Danny & the Juniors,1957
1792,Cheek to cheek,Lowell George,1979
1793,Give me love (give me peace on earth),George Harrison,1973
1794,Hymn to her,Pretenders,1987
1795,Even the bad times are good,Tremeloes,1967
1796,Fine brown frame,Lou Rawls & Diana Reeves,1989
1797,Free the people,Delaney & Bonnie & Friends,1970
1798,Heartache avenue,Maisonettes,1983
1799,Everybody knows,Dave Clark Five,1967
1800,Hang on in there baby,Johnny Bristol,1974
1801,Hit the road Jack,Stampeders,1976
1802,It don't come easy,Ringo Starr,1971
1803,Last train to Clarksville,Monkees,1966
1804,Ruby is the one,Earth & Fire,1970
1805,My boy lollipop,Millie Small,1964
1806,Paper roses,Marie Osmond,1973
1807,Personality,Lloyd Price,1959
1808,Rock & roll is king,Electric Light Orchestra,1983
1809,I was kaiser Bill's Batman,Whistling Jack Smith,1967
1810,King of the road,Roger Miller,1965
1811,Let's hear it for the boys,Deniece Williams,1984
1812,Reunited,Peaches & Herb,1979
1813,Working my way back to you,Detroit Spinners,1980
1814,Sorry Suzanne,Hollies,1969
1815,Stop the cavalry,Jona Lewie,1980
1816,"Ruby, don't take your love to town",Kenny Rogers,1969
1817,Something stupid,Nancy & Frank Sinatra,1967
1818,Speedy Gonzales,Pat Boone,1962
1819,Tell Laura I love her,Ray Peterson,1960
1820,Saved by the bell,Robin Gibb,1969
1821,This old house,Shakin Stevens,1981
1822,Cha la la I need you,Shuffles,1969
1823,Why do fools fall in love,Diana Ross,1981
1824,Thanks,J. Vincent Edwards,1969
1825,When,Kalin Twins,1958
1826,Walking in the rain with the one I love,Love Unlimited,1972
1827,The witch queen of New Orleans,Redbone,1971
1828,Talking in your sleep,Romantics,1984
1829,The beat goes on,Sonny & Cher,1967
1830,"Yester me, yester you, yesterday",Stevie Wonder,1969
1831,Where did our love go,Supremes,1964
1832,Zing went the strings of my heart,Trammps,1975
1833,Annie I'm not your daddy,Kid Creole & Coconuts,1982
1834,Da doo ron ron,Crystals,1963
1835,Going back to my roots,Odyssey,1981
1836,Him,Rupert Holmes,1980
1837,I love music,O'Jays,1976
1838,I love the sound of breaking glass,Nick Lowe,1978
1839,Ice in the sun,Status Quo,1968
1840,Judy in disguise,John Fred & His Playboy Band,1968
1841,Many rivers to cross,Marcia Hines,1982
1842,Move closer,Marilyn Martin,1989
1843,"Too much, too little, too late",Johnny Mathis & Deniece Williams,1978
1844,Shakin' all over,Johnny Kid & the Pirates,1960
1845,We are family,Sister Sledge,1979
1846,You are a friend of mine,Jackson Browne & Clarence Clemons,1986
1847,You're my world,Cilla Black,1964
1848,Chicago,Graham Nash,1971
1849,I'd really love to see you tonight,England Dan & John Ford Coley,1976
1850,Rock the boat,Hues Corporation,1974
1851,Sharing the night together,Dr. Hook & the Medicine Show,1979
1852,Solid,Ashford & Simpson,1985
1853,Why can't we live together,Timmy Thomas,1973
1854,In the still of the night,Jack Jersey,1974
1855,Lady love,Lou Rawls,1977
1856,Soley Soley,Middle of the Road,1971
1857,Son of my father,Chicory Tip,1972
1858,The walls fell down,Marbles,1969
1859,When I'm dead and gone,McGuiness Flint,1971
1860,All the love in the world,Dionne Warwick,1983
1861,Do what you do,Jermaine Jackson,1985
1862,What becomes of the broken-hearted,Jimmy Ruffin,1966
1863,Tallahassie Lassie,Freddie Cannon,1959
1864,Breaking up is hard to do,Neil Sedaka,1962
1865,Colinda,Lucille Starr,1965
1866,From New York to LA,Patsy Gallant,1977
1867,Ghostbusters,Ray Parker jr,1984
1868,La bambola,Patty Pravo,1968
1869,Let's all chant,Michael Zager Band,1978
1870,Memphis soul stew,King Curtis & Kingpins,1967
1871,Never knew love like this before,Stephanie Mills,1980
1872,Per lei,Riccardo Cocciante,1995
1873,Penny lover,Lionel Richie,1984
1874,New world in the morning,Roger Whittaker,1970
1875,Rainbow,Marmalade,1970
1876,Stuck with you,Huey Lewis & the News,1986
1877,Treat her like a lady,Temptations,1985
1878,We are growing,Margaret Singana,1989
1879,Wild world,Jimmy Cliff,1970
1880,Girls,Moments & Whatnauts,1975
1881,Good tradition,Tanita Tikaram,1988
1882,Hang on Sloopy,McCoys,1965
1883,Leader of the pack,Shangri-La's,1976
1884,Let's dance,Chris Montez,1963
1885,Making your mind up,Bucks Fizz,1981
1886,Man from Manhattan,Eddie Howell,1976
1887,Mary in the morning,Guy Fletcher,1971
1888,Norman,Sue Thompson,1962
1889,Nothing but a heartache,Flirtations,1968
1890,Pretty flamingo,Manfred Mann,1966
1891,Rosie,Don Partridge,1968
1892,Stumblin' in,Suzi Quatro & Chris Norman,1978
1893,Turn back the clock,Johnny Hates Jazz,1988
1894,Turn the beat around,Vicky Sue Robinson,1976
1895,Who's Johnny,El DeBarge,1969
1896,Saturday night,Bay City Rollers,1976
1897,Don't give up on us,David Soul,1977
1898,Don't leave me this way,Harold Melvin & Blue Notes,1977
1899,A man without love,Engelbert Humperdinck,1968
1900,Sun of Jamaica,Goombay Dance Band,1980
1901,La malaguena,Los Angeles,1973
1902,Flowers in the rain,Move,1967
1903,Baby now that I've found you,Foundations,1967
1904,Bend me shape me,American Breed,1968
1905,Blackberry way,Move,1968
1906,Cha cha cha,Raymond van 't Groenewoud,1981
1907,Clap for the Wolfman,Guess Who,1974
1908,Dansez maintenant,Dave,1975
1909,Daydream,Lovin' Spoonful,1966
1910,Together in electric dreams,Phil Oakey & Giorgio Moroder,1985
1911,Gotta see Jane,R. Dean Taylor,1968
1912,Have I the right,Honeycombs,1964
1913,How do you do it,Gerry & the Pacemakers,1963
1914,Hush,Billy Joe Royal,1968
1915,I can't let Maggie go,Honeybus,1968
1916,I want to wake up with you,Boris Gardiner,1986
1917,I will follow him,Little Peggy March,1963
1918,I'm a gambler,Lace,1969
1919,Itsy bitsy teenie weenie yellow polkadot bikini,Brian Hyland,1960
1920,It takes two,Marvin Gaye & Kim Weston,1967
1921,Joanna,Kool & the Gang,1984
1922,More than a woman,Tavares,1978
1923,Part of the union,Strawbs,1973
1924,Put a little love on me,Delegation,1980
1925,Reet petite,Jackie Wilson,1956
1926,Rhythm of the night,DeBarge,1985
1927,Shame and scandal in the family,Shawn Elliott,1965
1928,The entertainer,Scott Joplin/ Marvin Hamlisch,1974
1929,The hostage,Donna Summer,1974
1930,We’ve got tonight,Sheena Easton & Kenny Rogers,1983
1931,Western union,Five Americans,1967
1932,Yeh yeh,Georgie Fame,1965
1933,You don't mess around with Jim,Jim Croce,1972
1934,We’re all alone,Rita Coolidge,1977
1935,Ain't no pleasing you,Chas & Dave,1982
1936,Baby I love your way,Peter Frampton,1976
1937,Bad to me,Billy J. Kramer & the Dakotas,1963
1938,Bridget the midget,Ray Stevens,1971
1939,Brother Louie,Stories,1973
1940,Dance with me,Orleans,1975
1941,Games people play,Joe South,1969
1942,Goodbye,Mary Hopkin,1969
1943,Have you seen her,Chi-Lites,1972
1944,Hello goodmorning,Nick McKenzie,1980
1945,I hear you knocking,Dave Edmunds,1970
1946,I love to love you,Tina Charles,1976
1947,I remember Elvis Presley,Danny Mirror,1977
1948,Ma belle amie,Tee Set,1969
1949,My guy,Mary Wells,1964
1950,Non stop dance,Gibson Brothers,1977
1951,Papa was a poor man,Jack Jersey,1974
1952,Put your hand in the hand,Ocean,1971
1953,Right back were we started from,Maxine Nightingale,1976
1954,Satisfaction guaranteed,Harold Melvin & Blue Notes,1974
1955,Silver moon,Michael Nesmith & First National Band,1971
1956,Simon Smith & the amazing dancing bear,Alan Price Set,1967
1957,Snoopy vs the Red Baron,Royal Guardsmen,1967
1958,Soul finger,Bar-kays,1967
1959,Standing on the inside,Full House,1976
1960,Swing your daddy,Jim Gilstrap,1975
1961,Tears on my pillow,Johnny Nash,1975
1962,There goes my everything,Engelbert Humperdinck,1969
1963,The house that Jack built,Alan Price Set,1966
1964,To know you is to love you,Peter & Gordon,1965
1965,Up on the roof,Drifters,1962
1966,Winchester cathedral,New Vaudeville Band,1966
1967,Yakety Yak,Coasters,1958
1968,You wear it well,Rod Stewart,1972
1969,Baby come to me,James Ingram & Patty Austin,1983
1970,Candy man,Sammy Davis jr.,1972
1971,A groovy kind of love,Mindbenders,1966
1972,I don't wanna dance,Eddy Grant,1982
1973,I'm your puppet,James & Bobby Purify,1976
1974,Knock knock who's there,Mary Hopkin,1970
1975,Let kiss,Gudrun Jankis,1965
1976,Mama told me not to come,Three Dog Night,1970
1977,On and on,Stephen Bishop,1977
1978,One way ticket,Neil Sedaka,1961
1979,Riptide,Robert Palmer,1986
1980,See you when I get there,Lou Rawls,1977
1981,Still the one,Orleans,1976
1982,Strange way,Firefall,1979
1983,Tell me why,Four Aces,1951
1984,The wedding,Julie Rogers,1964
1985,That's the way God planned it,Billy Preston,1969
1986,Who do you think you are,Candlewick Green,1974
1987,Whose side are you on?,Matt Bianco,1984
1988,The ballad of Bonny & Clyde,Georgie Fame,1968
1989,Agatha,Nino Ferrer,1970
1990,Dancing in the city,Marshall & Hain,1978
1991,Here we go again,Ray Charles,1967
1992,L'Italiano,Toto Cutugno,1989
