nr,titel,artiest,jaar
242,Beat it,Michael Jackson,1983
243,Everybody needs somebody to love,Blues Brothers,1989
244,Eye of the tiger,Survivor,1982
245,Saturday night,Herman Brood & his Wild Romance,1978
246,Earth song,Michael Jackson,1995
247,Jailhouse rock,Elvis Presley,1957
248,Ik heb je lief,Paul de Leeuw,1997
249,Lust for life,Iggy Pop,1977
250,Give a little bit,Supertramp,1977
251,Ruthless queen,Kayak,1979
252,Sgt. Peppers Lonely Hearts Club Band,Beatles,1967
253,Theme from 'Harry's game',Clannad,1983
254,Just a little bit of peace in my heart,Golden Earrings,1968
255,The wind cries Mary,Jimi Hendrix Experience,1967
256,Ben,Michael Jackson,1972
257,Question,Moody Blues,1970
258,Bloedend hart,De Dijk,1982
259,White room,Cream,1968
260,Who'll stop the rain,Creedence Clearwater Revival,1970
261,Oh well part I,Fleetwood Mac,1969
262,Once upon a time in the west,Ennio Morricone,1976
263,The man with the child in his eyes,Kate Bush,1978
264,De waarheid,Marco Borsato,1996
265,The best,Tina Turner,1989
266,Penny Lane,Beatles,1967
267,Daar gaat ze,Clouseau,1990
268,Whiskey in the jar,Thin Lizzy,1973
269,River deep mountain high,Ike & Tina Turner,1966
270,Black magic woman,Santana,1970
271,Knocking on heaven's door,Bob Dylan,1973
272,Born to be wild,Steppenwolf,1968
273,Can't help falling in love with you,Elvis Presley,1962
274,Hou me vast,Volumia,1998
275,House for sale,Lucifer,1975
276,Brown eyed girl,Van Morrison,1967
277,Land van Maas en Waal,Boudewijn de Groot,1969
278,Such a shame,Talk Talk,1984
279,Take five,Dave Brubeck,1962
280,7 seconds,Youssou n'Dour & Neneh Cherry,1994
281,Chiquitita,ABBA,1979
282,Words,Bee Gees,1968
283,Almost cut my hair,Crosby Stills Nash & Young,1971
284,Father and son,Cat Stevens,1971
285,It's now or never,Elvis Presley,1960
286,België,Goede Doel,1982
287,Michelle,Beatles,1966
288,I have a dream,ABBA,1979
289,Summertime,Brainbox,1969
290,You are so beautiful,Joe Cocker,1990
291,The times they are changing,Bob Dylan,1965
292,Walk on the wild side,Lou Reed,1973
293,We will rock you,Queen,1994
294,Tom Traubert's Blues (Waltzing Mathilde),Tom Waits,1974
295,Pour que tu m'aimes encore,Celine Dion,1995
296,You'll never walk alone,Gerry & the Pacemakers,1963
297,"Zing, vecht, huil, bid, lach, werk en bewonder",Ramses Shaffy,1971
298,Easy living,Uriah Heep,1973
299,Always look on the bright side of life,Monty Python,1981
300,Don't stop me now,Queen,1979
301,Papa was a Rolling Stone,Temptations,1972
302,Mr. Tambourine man,Byrds,1965
303,Bad moon rising,Creedence Clearwater Revival,1969
304,MacArthur Park,Richard Harris,1968
305,More than words,Extreme,1991
306,Your're the one that I want,John Travolta & Olivia Newton John,1978
307,Land of confusion,Genesis,1986
308,Woorden zonder woorden,De Kast,1998
309,Baker Street,Gerry Rafferty,1978
310,Stay with me till the morning,Vicki Brown & New London Choral,1993
311,Every time I think of you,Babys,1979
312,While my guitar gently weeps,Beatles,1968
313,Locomotive breath,Jethro Tull,1972
314,Hocus pocus,Focus,1971
315,Solsbury hill,Peter Gabriel,1977
316,Sailing,Rod Stewart,1975
317,Why,Annie Lennox,1992
318,Dancing in the dark,Bruce Springsteen,1984
319,School's out,Alice Cooper,1972
320,Stand by me,Ben E. King,1961
321,Mijn vlakke land,Jacques Brel,1965
322,Message in a bottle,Police,1979
323,Venus,Shocking Blue,1969
324,Expecting to fly,Buffalo Springfield,1967
325,The young ones,Cliff Richard,1962
326,Alles geprobeerd,Goede Doel,1986
327,Ik leef niet meer voor jou,Marco Borsato,1996
328,Go like Elijah,Chi Coltrane,1973
